order_id,cust_id,order_date,quantity,sale_price,status,tenure_months,monthly_charges,contract_type,payment_method,internal_record_number,raw_import_timestamp,churn
5000,209,2024-05-19,1,1234.5,shipped,44.0,67.22,Two year,Cash,900209.0,2024-01-01,False
5001,258,2024-05-19,5,741.99,shipped,61.0,100.09,Two year,Card,900258.0,2024-01-01,False
5002,236,2024-05-19,1,567.99,shipped,49.0,66.19,Two year,Cash,900236.0,2024-01-01,False
5003,289,2024-02-03,1,1234.5,shipped,4.0,82.42,Two year,Cash,900289.0,2024-01-01,False
5004,208,2024-02-01,1,391.99,shipped,40.0,100.44,Month-to-month,Bank,900208.0,2024-01-01,False
5005,360,2024-05-19,2,1234.5,shipped,71.0,39.45,Two year,Card,900360.0,2024-01-01,False
5006,363,2024-02-01,1,940.99,shipped,13.0,74.31,Two year,Bank,900363.0,2024-01-01,False
5007,289,2024-02-01,3,1234.5,PENDING,4.0,82.42,Two year,Cash,900289.0,2024-01-01,False
5008,412,2024-05-19,1,1234.5,shipped,,,,,,,
5009,123,2024-02-03,5,1234.5,PENDING,48.0,76.3,Two year,Cash,900123.0,2024-01-01,False
5010,23,2024-05-19,3,1234.5,PENDING,28.0,119.76,One year,Bank,900023.0,2024-01-01,False
5011,412,2024-05-19,1,44.99,PENDING,,,,,,,
5012,182,2024-02-01,1,1234.5,shipped,45.0,37.05,One year,Bank,900182.0,2024-01-01,True
5013,406,2024-02-01,1,123.99,PENDING,,,,,,,
5014,95,2024-02-01,5,1234.5,PENDING,36.0,65.62,One year,Bank,900095.0,2024-01-01,False
5015,429,2024-02-01,5,1234.5,PENDING,,,,,,,
5016,228,2024-02-01,1,360.99,PENDING,66.0,66.02,Month-to-month,Card,900228.0,2024-01-01,False
5017,257,2024-02-03,1,829.99,shipped,52.0,87.57,One year,Cash,900257.0,2024-01-01,False
5018,94,2024-05-19,5,1234.5,shipped,68.0,62.68,Two year,Cash,900094.0,2024-01-01,False
5019,355,2024-02-03,1,244.99,PENDING,57.0,91.03,Month-to-month,Card,900355.0,2024-01-01,False
5020,169,2024-05-19,2,328.99,shipped,53.0,28.78,Two year,Bank,900169.0,2024-01-01,False
5021,109,2024-02-01,3,1234.5,PENDING,9.0,83.08,Two year,Cash,900109.0,2024-01-01,False
5022,296,2024-02-03,1,1234.5,PENDING,16.0,68.24,One year,Cash,900296.0,2024-01-01,False
5023,4,2024-02-03,5,1234.5,shipped,24.0,69.13,Two year,Card,900004.0,2024-01-01,False
5024,11,2024-02-01,1,907.99,shipped,4.0,62.39,Two year,Cash,900011.0,2024-01-01,False
5025,373,2024-05-19,2,1234.5,PENDING,36.0,79.51,Two year,Card,900373.0,2024-01-01,False
5026,33,2024-05-19,3,375.99,shipped,50.0,116.7,One year,Card,900033.0,2024-01-01,False
5027,288,2024-02-01,2,1234.5,shipped,60.0,70.98,Two year,Bank,900288.0,2024-01-01,False
5028,186,2024-02-03,2,903.99,shipped,34.0,91.68,Month-to-month,Bank,900186.0,2024-01-01,True
5029,156,2024-02-03,3,531.99,PENDING,9.0,45.98,One year,Card,900156.0,2024-01-01,False
5030,282,2024-05-19,1,352.99,PENDING,71.0,68.4,Two year,Card,900282.0,2024-01-01,False
5031,344,2024-02-03,1,1234.5,shipped,60.0,50.01,One year,Bank,900344.0,2024-01-01,False
5032,415,2024-02-01,3,164.99,shipped,,,,,,,
5033,4,2024-05-19,1,1234.5,PENDING,24.0,69.13,Two year,Card,900004.0,2024-01-01,False
5034,292,2024-02-03,2,610.99,shipped,21.0,72.46,Month-to-month,Bank,900292.0,2024-01-01,False
5035,155,2024-05-19,3,1234.5,shipped,5.0,80.4,Month-to-month,Card,900155.0,2024-01-01,True
5036,98,2024-05-19,1,608.99,PENDING,70.0,93.69,Month-to-month,Bank,900098.0,2024-01-01,False
5037,298,2024-02-03,1,1234.5,shipped,33.0,99.31,Month-to-month,Cash,900298.0,2024-01-01,False
5038,430,2024-02-03,3,930.99,PENDING,,,,,,,
5039,132,2024-05-19,1,786.99,PENDING,1.0,46.66,One year,Card,900132.0,2024-01-01,False
5040,122,2024-05-19,1,233.99,PENDING,27.0,65.83,One year,Bank,900122.0,2024-01-01,False
5041,230,2024-02-01,5,299.99,shipped,2.0,110.23,Month-to-month,Bank,900230.0,2024-01-01,True
5042,124,2024-05-19,1,996.99,shipped,47.0,68.07,Two year,Card,900124.0,2024-01-01,False
