ticket_id,opened_at,resolved,satisfaction,customer_customer_id,customer_tier,tenure_months,monthly_charges,contract_type,payment_method,internal_record_number,raw_import_timestamp,churn
1,2024-04-10,True,2.0,34,Gold,46,93.41,One year,Bank,900034,2024-01-01,False
2,2024-04-18,False,2.0,182,Gold,45,37.05,One year,Bank,900182,2024-01-01,True
3,2024-04-14,True,3.0,190,basic,57,116.93,Two year,Cash,900190,2024-01-01,False
4,2024-04-11,False,2.0,86,basic,54,110.72,Two year,Cash,900086,2024-01-01,False
5,2024-04-10,False,2.0,147,Gold,21,50.93,Two year,Cash,900147,2024-01-01,False
6,2024-04-16,True,2.0,100,Gold,5,64.48,Month-to-month,Card,900100,2024-01-01,True
7,2024-04-14,True,1.0,329,Gold,66,106.47,Month-to-month,Cash,900329,2024-01-01,False
8,2024-04-16,True,2.0,51,basic,2,47.58,One year,Bank,900051,2024-01-01,False
9,2024-04-17,False,4.0,145,Gold,33,74.35,Month-to-month,Card,900145,2024-01-01,False
10,2024-04-17,False,1.0,60,Gold,23,79.7,One year,Card,900060,2024-01-01,True
11,2024-04-17,False,2.0,208,Gold,40,100.44,Month-to-month,Bank,900208,2024-01-01,False
12,2024-04-17,True,1.0,119,Gold,49,115.98,Month-to-month,Bank,900119,2024-01-01,False
13,2024-04-14,True,4.0,98,Gold,70,93.69,Month-to-month,Bank,900098,2024-01-01,False
14,2024-04-15,True,1.0,241,Gold,9,29.35,Month-to-month,Card,900241,2024-01-01,True
15,2024-04-17,False,5.0,261,Gold,22,85.87,One year,Bank,900261,2024-01-01,False
16,2024-04-11,True,4.0,313,Gold,21,89.13,Month-to-month,Bank,900313,2024-01-01,False
17,2024-04-13,False,5.0,269,Gold,66,92.81,One year,Card,900269,2024-01-01,True
18,2024-04-11,True,4.0,162,Gold,21,101.87,Month-to-month,Bank,900162,2024-01-01,False
19,2024-04-17,False,1.0,136,Gold,26,118.82,Month-to-month,Card,900136,2024-01-01,False
20,2024-04-15,True,2.0,232,basic,43,78.72,One year,Cash,900232,2024-01-01,False
21,2024-04-15,True,1.0,144,basic,47,75.13,One year,Bank,900144,2024-01-01,False
22,2024-04-17,True,2.0,361,Gold,18,48.96,One year,Bank,900361,2024-01-01,False
23,2024-04-18,True,2.0,261,Gold,22,85.87,One year,Bank,900261,2024-01-01,False
24,2024-04-10,False,4.0,241,basic,9,29.35,Month-to-month,Card,900241,2024-01-01,True
25,2024-04-12,True,2.0,341,basic,4,97.93,One year,Cash,900341,2024-01-01,False
26,2024-04-10,True,2.0,199,Gold,66,74.25,Two year,Bank,900199,2024-01-01,False
27,2024-04-13,True,5.0,334,Gold,27,34.27,One year,Cash,900334,2024-01-01,False
28,2024-04-11,False,2.0,235,basic,60,118.7,Month-to-month,Cash,900235,2024-01-01,False
29,2024-04-17,False,2.0,19,Gold,28,47.25,One year,Cash,900019,2024-01-01,False
30,2024-04-15,False,1.0,156,basic,9,45.98,One year,Card,900156,2024-01-01,False
31,2024-04-12,True,3.0,206,Gold,35,74.84,One year,Bank,900206,2024-01-01,False
32,2024-04-11,False,3.0,248,Gold,72,76.34,One year,Card,900248,2024-01-01,False
33,2024-04-17,False,5.0,262,basic,71,73.42,Two year,Bank,900262,2024-01-01,False
34,2024-04-17,False,3.0,111,Gold,41,88.2,Two year,Bank,900111,2024-01-01,False
35,2024-04-13,True,1.0,234,Gold,35,66.94,Two year,Bank,900234,2024-01-01,False
36,2024-04-15,False,2.0,209,Gold,44,67.22,Two year,Cash,900209,2024-01-01,False
37,2024-04-19,True,2.0,363,Gold,13,74.31,Two year,Bank,900363,2024-01-01,False
38,2024-04-12,True,5.0,123,Gold,48,76.3,Two year,Cash,900123,2024-01-01,False
39,2024-04-18,False,2.0,233,Gold,5,71.97,Two year,Bank,900233,2024-01-01,False
40,2024-04-18,True,3.0,134,Gold,2,71.52,One year,Cash,900134,2024-01-01,False
41,2024-04-12,False,5.0,214,Gold,24,91.28,One year,Bank,900214,2024-01-01,False
42,2024-04-12,False,4.0,165,Gold,66,60.44,Month-to-month,Cash,900165,2024-01-01,False
43,2024-04-19,False,4.0,86,Gold,54,110.72,Two year,Cash,900086,2024-01-01,False
44,2024-04-13,False,2.0,130,basic,16,95.32,Month-to-month,Cash,900130,2024-01-01,False
45,2024-04-16,True,1.0,138,basic,66,115.64,Two year,Bank,900138,2024-01-01,False
46,2024-04-10,True,1.0,224,Gold,30,49.38,Month-to-month,Cash,900224,2024-01-01,False
47,2024-04-12,False,1.0,148,Gold,13,76.05,One year,Bank,900148,2024-01-01,False
48,2024-04-14,True,4.0,272,Gold,12,103.02,Two year,Bank,900272,2024-01-01,False
49,2024-04-18,True,5.0,125,Gold,70,115.81,Two year,Cash,900125,2024-01-01,True
50,2024-04-16,True,5.0,286,Gold,18,89.5,One year,Card,900286,2024-01-01,False
51,2024-04-16,False,2.0,130,basic,16,95.32,Month-to-month,Cash,900130,2024-01-01,False
52,2024-04-13,False,3.0,131,basic,15,88.42,Month-to-month,Card,900131,2024-01-01,False
53,2024-04-11,True,5.0,269,Gold,66,92.81,One year,Card,900269,2024-01-01,True
54,2024-04-13,True,1.0,350,Gold,57,58.98,Two year,Bank,900350,2024-01-01,True
55,2024-04-15,False,4.0,228,Gold,66,66.02,Month-to-month,Card,900228,2024-01-01,False
56,2024-04-16,True,2.0,167,Gold,12,44.02,One year,Card,900167,2024-01-01,False
57,2024-04-16,False,2.0,278,Gold,36,50.07,Two year,Card,900278,2024-01-01,False
58,2024-04-15,False,2.0,120,Gold,37,116.68,One year,Cash,900120,2024-01-01,False
59,2024-04-12,False,2.0,254,Gold,52,45.84,Month-to-month,Cash,900254,2024-01-01,False
60,2024-04-11,True,5.0,111,Gold,41,88.2,Two year,Bank,900111,2024-01-01,False
61,2024-04-19,False,2.0,70,Gold,5,98.32,Two year,Cash,900070,2024-01-01,False
62,2024-04-19,False,3.0,40,Gold,1,114.93,Month-to-month,Cash,900040,2024-01-01,True
63,2024-04-15,True,2.0,296,basic,16,68.24,One year,Cash,900296,2024-01-01,False
64,2024-04-15,False,4.0,389,Gold,72,113.86,One year,Bank,900389,2024-01-01,True
65,2024-04-12,False,3.0,355,Gold,57,91.03,Month-to-month,Card,900355,2024-01-01,False
66,2024-04-14,False,2.0,60,basic,23,79.7,One year,Card,900060,2024-01-01,True
67,2024-04-19,False,3.0,128,basic,9,62.05,Month-to-month,Cash,900128,2024-01-01,True
68,2024-04-14,False,1.0,393,Gold,68,41.2,One year,Card,900393,2024-01-01,False
69,2024-04-19,True,2.0,308,Gold,13,21.67,Month-to-month,Bank,900308,2024-01-01,False
70,2024-04-18,False,2.0,8,basic,8,40.74,Month-to-month,Cash,900008,2024-01-01,True
71,2024-04-10,True,1.0,288,Gold,60,70.98,Two year,Bank,900288,2024-01-01,False
72,2024-04-13,True,2.0,89,Gold,56,64.18,Two year,Bank,900089,2024-01-01,False
73,2024-04-14,False,1.0,118,Gold,21,54.28,Month-to-month,Bank,900118,2024-01-01,False
74,2024-04-11,True,2.0,13,Gold,28,71.32,One year,Card,900013,2024-01-01,False
75,2024-04-15,True,5.0,77,Gold,25,76.99,Two year,Cash,900077,2024-01-01,False
76,2024-04-14,False,2.0,179,Gold,24,77.81,Two year,Card,900179,2024-01-01,False
77,2024-04-15,True,1.0,246,Gold,48,49.02,Two year,Card,900246,2024-01-01,False
78,2024-04-14,True,1.0,136,Gold,26,118.82,Month-to-month,Card,900136,2024-01-01,False
79,2024-04-14,False,2.0,320,Gold,15,52.93,Month-to-month,Bank,900320,2024-01-01,False
80,2024-04-18,False,2.0,169,Gold,53,28.78,Two year,Bank,900169,2024-01-01,False
81,2024-04-18,True,2.0,97,basic,19,101.13,One year,Card,900097,2024-01-01,False
82,2024-04-16,True,2.0,355,Gold,57,91.03,Month-to-month,Card,900355,2024-01-01,False
83,2024-04-14,True,4.0,9,Gold,28,71.08,Month-to-month,Cash,900009,2024-01-01,True
84,2024-04-19,False,2.0,49,Gold,34,21.68,One year,Card,900049,2024-01-01,False
85,2024-04-17,False,5.0,363,Gold,13,74.31,Two year,Bank,900363,2024-01-01,False
86,2024-04-17,False,2.0,48,basic,62,31.63,One year,Bank,900048,2024-01-01,False
87,2024-04-19,False,1.0,7,Gold,15,106.85,One year,Card,900007,2024-01-01,True
88,2024-04-13,True,5.0,325,Gold,57,87.68,Two year,Cash,900325,2024-01-01,False
89,2024-04-18,True,2.0,217,basic,55,39.23,One year,Cash,900217,2024-01-01,False
90,2024-04-13,True,2.0,30,Gold,61,114.48,One year,Cash,900030,2024-01-01,False
91,2024-04-13,False,5.0,263,Gold,15,33.48,One year,Bank,900263,2024-01-01,False
92,2024-04-13,True,2.0,99,Gold,49,105.79,One year,Cash,900099,2024-01-01,False
93,2024-04-12,True,2.0,134,Gold,2,71.52,One year,Cash,900134,2024-01-01,False
94,2024-04-14,False,3.0,238,Gold,50,35.98,Month-to-month,Bank,900238,2024-01-01,True
95,2024-04-14,True,5.0,268,basic,14,28.08,Two year,Card,900268,2024-01-01,False
96,2024-04-14,True,3.0,162,Gold,21,101.87,Month-to-month,Bank,900162,2024-01-01,False
97,2024-04-12,False,2.0,264,Gold,26,74.62,Two year,Cash,900264,2024-01-01,False
98,2024-04-10,False,3.0,126,Gold,23,56.03,Two year,Card,900126,2024-01-01,False
99,2024-04-18,True,2.0,62,basic,3,52.78,Two year,Cash,900062,2024-01-01,False
100,2024-04-18,True,1.0,367,Gold,56,22.14,One year,Cash,900367,2024-01-01,False
101,2024-04-11,False,4.0,55,basic,8,63.66,Month-to-month,Cash,900055,2024-01-01,True
102,2024-04-14,False,4.0,248,Gold,72,76.34,One year,Card,900248,2024-01-01,False
103,2024-04-16,True,5.0,163,Gold,65,23.96,Month-to-month,Card,900163,2024-01-01,False
104,2024-04-15,True,1.0,229,basic,57,51.13,One year,Bank,900229,2024-01-01,False
105,2024-04-11,True,2.0,394,Gold,68,35.48,Two year,Cash,900394,2024-01-01,False
106,2024-04-12,True,4.0,20,basic,7,68.84,Month-to-month,Bank,900020,2024-01-01,True
107,2024-04-10,True,2.0,351,basic,47,35.26,Two year,Card,900351,2024-01-01,False
108,2024-04-15,False,5.0,36,basic,71,20.64,Two year,Bank,900036,2024-01-01,False
109,2024-04-16,True,2.0,44,Gold,15,33.6,Month-to-month,Cash,900044,2024-01-01,False
110,2024-04-10,True,2.0,377,Gold,11,45.73,Two year,Card,900377,2024-01-01,False
111,2024-04-11,True,3.0,70,basic,5,98.32,Two year,Cash,900070,2024-01-01,False
112,2024-04-19,False,2.0,84,basic,36,105.85,Month-to-month,Bank,900084,2024-01-01,False
113,2024-04-16,False,2.0,123,Gold,48,76.3,Two year,Cash,900123,2024-01-01,False
114,2024-04-11,False,4.0,174,Gold,13,58.24,Two year,Bank,900174,2024-01-01,True
115,2024-04-11,True,2.0,283,Gold,49,89.93,One year,Bank,900283,2024-01-01,False
116,2024-04-17,False,2.0,369,Gold,66,28.56,Two year,Bank,900369,2024-01-01,False
117,2024-04-17,False,2.0,310,Gold,14,73.79,Month-to-month,Bank,900310,2024-01-01,False
118,2024-04-12,False,4.0,104,basic,18,84.52,Month-to-month,Cash,900104,2024-01-01,False
119,2024-04-15,False,1.0,55,basic,8,63.66,Month-to-month,Cash,900055,2024-01-01,True
120,2024-04-17,False,5.0,131,basic,15,88.42,Month-to-month,Card,900131,2024-01-01,False
121,2024-04-12,True,2.0,165,Gold,66,60.44,Month-to-month,Cash,900165,2024-01-01,False
122,2024-04-16,True,1.0,97,basic,19,101.13,One year,Card,900097,2024-01-01,False
123,2024-04-15,True,3.0,119,basic,49,115.98,Month-to-month,Bank,900119,2024-01-01,False
124,2024-04-10,True,2.0,311,Gold,30,113.95,Month-to-month,Cash,900311,2024-01-01,False
125,2024-04-15,True,3.0,163,Gold,65,23.96,Month-to-month,Card,900163,2024-01-01,False
126,2024-04-16,False,3.0,317,Gold,63,38.24,Month-to-month,Bank,900317,2024-01-01,False
127,2024-04-10,False,2.0,57,Gold,12,97.29,Month-to-month,Bank,900057,2024-01-01,False
128,2024-04-13,True,2.0,395,basic,29,117.92,One year,Bank,900395,2024-01-01,False
129,2024-04-14,True,5.0,88,Gold,18,30.29,One year,Card,900088,2024-01-01,False
130,2024-04-16,False,3.0,336,Gold,57,92.02,Two year,Cash,900336,2024-01-01,False
131,2024-04-18,True,2.0,69,Gold,8,64.55,Two year,Cash,900069,2024-01-01,False
132,2024-04-12,True,2.0,29,Gold,62,103.99,Two year,Bank,900029,2024-01-01,False
133,2024-04-18,True,5.0,382,basic,54,24.31,Month-to-month,Bank,900382,2024-01-01,False
134,2024-04-17,False,2.0,234,Gold,35,66.94,Two year,Bank,900234,2024-01-01,False
135,2024-04-15,True,2.0,110,basic,57,41.22,One year,Bank,900110,2024-01-01,False
136,2024-04-11,True,1.0,33,Gold,50,116.7,One year,Card,900033,2024-01-01,False
137,2024-04-15,True,5.0,14,Gold,12,97.38,One year,Cash,900014,2024-01-01,False
138,2024-04-10,False,4.0,35,Gold,51,84.55,One year,Cash,900035,2024-01-01,True
139,2024-04-14,False,4.0,328,Gold,60,115.28,Month-to-month,Cash,900328,2024-01-01,False
140,2024-04-19,False,3.0,159,basic,20,37.21,One year,Bank,900159,2024-01-01,False
141,2024-04-14,True,5.0,177,basic,17,34.13,One year,Bank,900177,2024-01-01,True
142,2024-04-19,True,4.0,55,basic,8,63.66,Month-to-month,Cash,900055,2024-01-01,True
143,2024-04-10,False,2.0,229,Gold,57,51.13,One year,Bank,900229,2024-01-01,False
144,2024-04-18,True,2.0,107,Gold,29,45.02,Month-to-month,Card,900107,2024-01-01,True
145,2024-04-19,True,4.0,357,Gold,3,101.06,One year,Card,900357,2024-01-01,False
146,2024-04-16,True,2.0,303,basic,53,37.23,Month-to-month,Bank,900303,2024-01-01,True
147,2024-04-11,False,5.0,68,Gold,23,36.56,Month-to-month,Bank,900068,2024-01-01,False
148,2024-04-15,True,2.0,149,basic,70,95.0,Two year,Card,900149,2024-01-01,False
149,2024-04-10,False,3.0,382,basic,54,24.31,Month-to-month,Bank,900382,2024-01-01,False
