order_id,cust_id,order_date,quantity,sale_price,status
5000,209,2024-05-19,1,1234.5,shipped
5001,258,2024-05-19,5,741.99,shipped
5002,236,2024-05-19,1,567.99,shipped
5003,289,2024-02-03,1,1234.5,shipped
5004,208,2024-02-01,1,391.99,shipped
5005,360,2024-05-19,2,1234.5,shipped
5006,363,2024-02-01,1,940.99,shipped
5007,289,2024-02-01,3,1234.5,PENDING
5008,412,2024-05-19,1,1234.5,shipped
5009,123,2024-02-03,5,1234.5,PENDING
5010,23,2024-05-19,3,1234.5,PENDING
5011,412,2024-05-19,1,44.99,PENDING
5012,182,2024-02-01,1,1234.5,shipped
5013,406,2024-02-01,1,123.99,PENDING
5014,95,2024-02-01,5,1234.5,PENDING
5015,429,2024-02-01,5,1234.5,PENDING
5016,228,2024-02-01,1,360.99,PENDING
5017,257,2024-02-03,1,829.99,shipped
5018,94,2024-05-19,5,1234.5,shipped
5019,355,2024-02-03,1,244.99,PENDING
5020,169,2024-05-19,2,328.99,shipped
5021,109,2024-02-01,3,1234.5,PENDING
5022,296,2024-02-03,1,1234.5,PENDING
5023,4,2024-02-03,5,1234.5,shipped
5024,11,2024-02-01,1,907.99,shipped
5025,373,2024-05-19,2,1234.5,PENDING
5026,33,2024-05-19,3,375.99,shipped
5027,288,2024-02-01,2,1234.5,shipped
5028,186,2024-02-03,2,903.99,shipped
5029,156,2024-02-03,3,531.99,PENDING
5030,282,2024-05-19,1,352.99,PENDING
5031,344,2024-02-03,1,1234.5,shipped
5032,415,2024-02-01,3,164.99,shipped
5033,4,2024-05-19,1,1234.5,PENDING
5034,292,2024-02-03,2,610.99,shipped
5035,155,2024-05-19,3,1234.5,shipped
5036,98,2024-05-19,1,608.99,PENDING
5037,298,2024-02-03,1,1234.5,shipped
5038,430,2024-02-03,3,930.99,PENDING
5039,132,2024-05-19,1,786.99,PENDING
5040,122,2024-05-19,1,233.99,PENDING
5041,230,2024-02-01,5,299.99,shipped
5042,124,2024-05-19,1,996.99,shipped
5043,41,2024-02-01,5,359.99,shipped
5044,97,2024-02-03,5,667.99,PENDING
5045,15,2024-02-01,3,344.99,PENDING
5046,208,2024-05-19,3,188.99,PENDING
5047,408,2024-02-01,1,1234.5,PENDING
5048,307,2024-02-03,3,1234.5,shipped
5049,14,2024-02-03,5,1234.5,shipped
5050,213,2024-05-19,3,170.99,shipped
5051,80,2024-02-01,2,552.99,PENDING
5052,417,2024-02-03,1,362.99,PENDING
5053,118,2024-05-19,5,1234.5,shipped
5054,398,2024-05-19,3,1234.5,PENDING
5055,186,2024-05-19,5,1234.5,shipped
5056,130,2024-02-01,5,497.99,PENDING
5057,78,2024-05-19,2,420.99,shipped
5058,320,2024-02-01,1,71.99,shipped
