ticket_id,opened_at,resolved,satisfaction,customer_customer_id,customer_tier
1,2024-04-10,True,2.0,34,Gold
2,2024-04-18,False,2.0,182,Gold
3,2024-04-14,True,3.0,190,basic
4,2024-04-11,False,2.0,86,basic
5,2024-04-10,False,2.0,147,Gold
6,2024-04-16,True,2.0,100,Gold
7,2024-04-14,True,1.0,329,Gold
8,2024-04-16,True,2.0,51,basic
9,2024-04-17,False,4.0,145,Gold
10,2024-04-17,False,1.0,60,Gold
11,2024-04-17,False,2.0,208,Gold
12,2024-04-17,True,1.0,119,Gold
13,2024-04-14,True,4.0,98,Gold
14,2024-04-15,True,1.0,241,Gold
15,2024-04-17,False,5.0,261,Gold
16,2024-04-11,True,4.0,313,Gold
17,2024-04-13,False,5.0,269,Gold
18,2024-04-11,True,4.0,162,Gold
19,2024-04-17,False,1.0,136,Gold
20,2024-04-15,True,2.0,232,basic
21,2024-04-15,True,1.0,144,basic
22,2024-04-17,True,2.0,361,Gold
23,2024-04-18,True,2.0,261,Gold
24,2024-04-10,False,4.0,241,basic
25,2024-04-12,True,2.0,341,basic
26,2024-04-10,True,2.0,199,Gold
27,2024-04-13,True,5.0,334,Gold
28,2024-04-11,False,2.0,235,basic
29,2024-04-17,False,2.0,19,Gold
30,2024-04-15,False,1.0,156,basic
31,2024-04-12,True,3.0,206,Gold
32,2024-04-11,False,3.0,248,Gold
33,2024-04-17,False,5.0,262,basic
34,2024-04-17,False,3.0,111,Gold
35,2024-04-13,True,1.0,234,Gold
36,2024-04-15,False,2.0,209,Gold
37,2024-04-19,True,2.0,363,Gold
38,2024-04-12,True,5.0,123,Gold
39,2024-04-18,False,2.0,233,Gold
40,2024-04-18,True,3.0,134,Gold
41,2024-04-12,False,5.0,214,Gold
42,2024-04-12,False,4.0,165,Gold
43,2024-04-19,False,4.0,86,Gold
44,2024-04-13,False,2.0,130,basic
45,2024-04-16,True,1.0,138,basic
46,2024-04-10,True,1.0,224,Gold
47,2024-04-12,False,1.0,148,Gold
48,2024-04-14,True,4.0,272,Gold
49,2024-04-18,True,5.0,125,Gold
50,2024-04-16,True,5.0,286,Gold
51,2024-04-16,False,2.0,130,basic
52,2024-04-13,False,3.0,131,basic
53,2024-04-11,True,5.0,269,Gold
54,2024-04-13,True,1.0,350,Gold
55,2024-04-15,False,4.0,228,Gold
56,2024-04-16,True,2.0,167,Gold
57,2024-04-16,False,2.0,278,Gold
58,2024-04-15,False,2.0,120,Gold
59,2024-04-12,False,2.0,254,Gold
60,2024-04-11,True,5.0,111,Gold
61,2024-04-19,False,2.0,70,Gold
62,2024-04-19,False,3.0,40,Gold
63,2024-04-15,True,2.0,296,basic
64,2024-04-15,False,4.0,389,Gold
65,2024-04-12,False,3.0,355,Gold
66,2024-04-14,False,2.0,60,basic
67,2024-04-19,False,3.0,128,basic
68,2024-04-14,False,1.0,393,Gold
69,2024-04-19,True,2.0,308,Gold
70,2024-04-18,False,2.0,8,basic
71,2024-04-10,True,1.0,288,Gold
72,2024-04-13,True,2.0,89,Gold
73,2024-04-14,False,1.0,118,Gold
74,2024-04-11,True,2.0,13,Gold
75,2024-04-15,True,5.0,77,Gold
76,2024-04-14,False,2.0,179,Gold
77,2024-04-15,True,1.0,246,Gold
78,2024-04-14,True,1.0,136,Gold
79,2024-04-14,False,2.0,320,Gold
80,2024-04-18,False,2.0,169,Gold
81,2024-04-18,True,2.0,97,basic
82,2024-04-16,True,2.0,355,Gold
83,2024-04-14,True,4.0,9,Gold
84,2024-04-19,False,2.0,49,Gold
85,2024-04-17,False,5.0,363,Gold
86,2024-04-17,False,2.0,48,basic
87,2024-04-19,False,1.0,7,Gold
88,2024-04-13,True,5.0,325,Gold
89,2024-04-18,True,2.0,217,basic
90,2024-04-13,True,2.0,30,Gold
91,2024-04-13,False,5.0,263,Gold
92,2024-04-13,True,2.0,99,Gold
93,2024-04-12,True,2.0,134,Gold
94,2024-04-14,False,3.0,238,Gold
95,2024-04-14,True,5.0,268,basic
96,2024-04-14,True,3.0,162,Gold
97,2024-04-12,False,2.0,264,Gold
98,2024-04-10,False,3.0,126,Gold
99,2024-04-18,True,2.0,62,basic
100,2024-04-18,True,1.0,367,Gold
101,2024-04-11,False,4.0,55,basic
102,2024-04-14,False,4.0,248,Gold
103,2024-04-16,True,5.0,163,Gold
104,2024-04-15,True,1.0,229,basic
105,2024-04-11,True,2.0,394,Gold
106,2024-04-12,True,4.0,20,basic
107,2024-04-10,True,2.0,351,basic
108,2024-04-15,False,5.0,36,basic
109,2024-04-16,True,2.0,44,Gold
110,2024-04-10,True,2.0,377,Gold
111,2024-04-11,True,3.0,70,basic
112,2024-04-19,False,2.0,84,basic
113,2024-04-16,False,2.0,123,Gold
114,2024-04-11,False,4.0,174,Gold
115,2024-04-11,True,2.0,283,Gold
116,2024-04-17,False,2.0,369,Gold
117,2024-04-17,False,2.0,310,Gold
118,2024-04-12,False,4.0,104,basic
119,2024-04-15,False,1.0,55,basic
120,2024-04-17,False,5.0,131,basic
121,2024-04-12,True,2.0,165,Gold
122,2024-04-16,True,1.0,97,basic
123,2024-04-15,True,3.0,119,basic
124,2024-04-10,True,2.0,311,Gold
125,2024-04-15,True,3.0,163,Gold
126,2024-04-16,False,3.0,317,Gold
127,2024-04-10,False,2.0,57,Gold
128,2024-04-13,True,2.0,395,basic
129,2024-04-14,True,5.0,88,Gold
130,2024-04-16,False,3.0,336,Gold
131,2024-04-18,True,2.0,69,Gold
132,2024-04-12,True,2.0,29,Gold
133,2024-04-18,True,5.0,382,basic
134,2024-04-17,False,2.0,234,Gold
135,2024-04-15,True,2.0,110,basic
136,2024-04-11,True,1.0,33,Gold
137,2024-04-15,True,5.0,14,Gold
138,2024-04-10,False,4.0,35,Gold
139,2024-04-14,False,4.0,328,Gold
140,2024-04-19,False,3.0,159,basic
141,2024-04-14,True,5.0,177,basic
142,2024-04-19,True,4.0,55,basic
143,2024-04-10,False,2.0,229,Gold
144,2024-04-18,True,2.0,107,Gold
145,2024-04-19,True,4.0,357,Gold
146,2024-04-16,True,2.0,303,basic
147,2024-04-11,False,5.0,68,Gold
148,2024-04-15,True,2.0,149,basic
149,2024-04-10,False,3.0,382,basic
