product_id,product_name,category,unit_cost
P001,Product 1,Electronics,280
P002,Product 2,Electronics,499
P003,Product 3,Toys,87
P004,Product 4,Electronics,276
P005,Product 5,Electronics,337
P006,Product 6,Electronics,485
P007,Product 7,Toys,481
P008,Product 8,Electronics,336
P009,Product 9,Electronics,116
P010,Product 10,Home,391
P011,Product 11,Electronics,370
P012,Product 12,Home,225
P013,Product 13,Electronics,490
P014,Product 14,Electronics,317
P015,Product 15,Toys,319
P016,Product 16,Electronics,358
P017,Product 17,Home,390
P018,Product 18,Toys,132
P019,Product 19,Home,136
P020,Product 20,Electronics,51
P021,Product 21,Electronics,333
P022,Product 22,Home,321
P023,Product 23,Electronics,340
P024,Product 24,Electronics,311
P025,Product 25,Electronics,360
P026,Product 26,Toys,160
P027,Product 27,Electronics,37
P028,Product 28,Electronics,279
P029,Product 29,Electronics,42
P030,Product 30,Home,43
P031,Product 31,Electronics,290
P032,Product 32,Electronics,374
P033,Product 33,Toys,336
P034,Product 34,Home,476
P035,Product 35,Toys,96
P036,Product 36,Electronics,135
P037,Product 37,Home,207
P038,Product 38,Toys,361
P039,Product 39,Electronics,232
P040,Product 40,Electronics,445
P041,Product 41,Toys,180
P042,Product 42,Home,431
P043,Product 43,Electronics,20
P044,Product 44,Toys,429
P045,Product 45,Electronics,59
P046,Product 46,Electronics,416
P047,Product 47,Home,348
P048,Product 48,Home,147
P049,Product 49,Electronics,437
P050,Product 50,Electronics,42
P051,Product 51,Electronics,85
P052,Product 52,Home,343
P053,Product 53,Home,97
P054,Product 54,Electronics,78
P055,Product 55,Toys,54
P056,Product 56,Electronics,201
P057,Product 57,Home,338
P058,Product 58,Electronics,296
P059,Product 59,Electronics,36
