customer_id,tenure_months,monthly_charges,contract_type,payment_method,internal_record_number,raw_import_timestamp,churn
1,56,35.77,Two year,Cash,900001,2024-01-01,False
2,10,112.98,Month-to-month,Bank,900002,2024-01-01,True
3,39,119.16,Two year,Cash,900003,2024-01-01,False
4,24,69.13,Two year,Card,900004,2024-01-01,False
5,19,80.49,One year,Cash,900005,2024-01-01,False
6,22,38.33,Two year,Cash,900006,2024-01-01,False
7,15,106.85,One year,Card,900007,2024-01-01,True
8,8,40.74,Month-to-month,Cash,900008,2024-01-01,True
9,28,71.08,Month-to-month,Cash,900009,2024-01-01,True
10,28,34.37,Two year,Bank,900010,2024-01-01,False
11,4,62.39,Two year,Cash,900011,2024-01-01,False
12,34,80.42,Month-to-month,Bank,900012,2024-01-01,False
13,28,71.32,One year,Card,900013,2024-01-01,False
14,12,97.38,One year,Cash,900014,2024-01-01,False
15,22,94.84,Month-to-month,Cash,900015,2024-01-01,False
16,33,43.21,Month-to-month,Card,900016,2024-01-01,False
17,23,110.41,Month-to-month,Cash,900017,2024-01-01,False
18,15,94.92,Two year,Cash,900018,2024-01-01,False
19,28,47.25,One year,Cash,900019,2024-01-01,False
20,7,68.84,Month-to-month,Bank,900020,2024-01-01,True
21,12,106.86,Two year,Cash,900021,2024-01-01,False
22,54,34.21,One year,Card,900022,2024-01-01,False
23,28,119.76,One year,Bank,900023,2024-01-01,False
24,32,119.65,Month-to-month,Card,900024,2024-01-01,False
25,53,55.65,One year,Bank,900025,2024-01-01,False
26,40,36.19,Month-to-month,Bank,900026,2024-01-01,False
27,11,34.25,Two year,Bank,900027,2024-01-01,False
28,16,70.46,Month-to-month,Bank,900028,2024-01-01,False
29,62,103.99,Two year,Bank,900029,2024-01-01,False
30,61,114.48,One year,Cash,900030,2024-01-01,False
31,26,67.18,Two year,Card,900031,2024-01-01,False
32,65,36.92,Month-to-month,Bank,900032,2024-01-01,True
33,50,116.7,One year,Card,900033,2024-01-01,False
34,46,93.41,One year,Bank,900034,2024-01-01,False
35,51,84.55,One year,Cash,900035,2024-01-01,True
36,71,20.64,Two year,Bank,900036,2024-01-01,False
37,46,70.89,Two year,Cash,900037,2024-01-01,False
38,52,115.21,Two year,Bank,900038,2024-01-01,False
39,21,75.42,Two year,Cash,900039,2024-01-01,False
40,1,114.93,Month-to-month,Cash,900040,2024-01-01,True
41,47,87.79,One year,Bank,900041,2024-01-01,False
42,29,54.01,Month-to-month,Cash,900042,2024-01-01,False
43,71,60.25,Month-to-month,Bank,900043,2024-01-01,False
44,15,33.6,Month-to-month,Cash,900044,2024-01-01,False
45,42,100.66,One year,Bank,900045,2024-01-01,False
46,36,56.34,Month-to-month,Bank,900046,2024-01-01,False
47,71,73.2,One year,Cash,900047,2024-01-01,False
48,62,31.63,One year,Bank,900048,2024-01-01,False
49,34,21.68,One year,Card,900049,2024-01-01,False
50,47,101.04,Two year,Cash,900050,2024-01-01,False
51,2,47.58,One year,Bank,900051,2024-01-01,False
52,64,36.02,Two year,Bank,900052,2024-01-01,False
53,3,27.57,Month-to-month,Card,900053,2024-01-01,True
54,18,34.69,Month-to-month,Card,900054,2024-01-01,False
55,8,63.66,Month-to-month,Cash,900055,2024-01-01,True
56,14,114.69,Two year,Cash,900056,2024-01-01,False
57,12,97.29,Month-to-month,Bank,900057,2024-01-01,False
58,25,23.99,One year,Cash,900058,2024-01-01,False
59,50,62.22,Two year,Cash,900059,2024-01-01,False
60,23,79.7,One year,Card,900060,2024-01-01,True
61,11,25.59,Month-to-month,Card,900061,2024-01-01,True
62,3,52.78,Two year,Cash,900062,2024-01-01,False
63,22,31.23,Month-to-month,Card,900063,2024-01-01,True
64,24,39.75,One year,Cash,900064,2024-01-01,False
